comment,tokens
پریڈیسٹینیشن دیکھی ہے آپ نے,"['پریڈیسٹینیشن', 'دیکھی', 'ہے', 'آپ', 'نے']"
مجھے اب یاد نہیں ہے اگر دیکھی نہ ہوئی تو دیکھوں گی اصل میں گھر میں ہی واحد کم موویز دیکھتی ہوں سو بس اسی لیے میں نے نام گھر میں سنا ہے یہاں پر جتنی موویز ہیں ان کے نام سنے ہوئے ہیں مگر دیکھی نہیں وجہ یہی کہ اگر مووی پسند نہیں آئے تو چھوڑ دیتی ہوں,"['مجھے', 'اب', 'یاد', 'نہیں', 'ہے', 'اگر', 'دیکھی', 'نہ', 'ہوئی', 'تو', 'دیکھوں', 'گی', 'اصل', 'میں', 'گھر', 'میں', 'ہی', 'واحد', 'کم', 'موویز', 'دیکھتی', 'ہوں', 'سو', 'بس', 'اسی', 'لیے', 'میں', 'نے', 'نا', 'م', 'گھر', 'میں', 'سنا', 'ہے', 'یہاں', 'پر', 'جتنی', 'موویز', 'ہیں', 'ان', 'کے', 'نا', 'م', 'س', 'نے', 'ہوئے', 'ہیں', 'مگر', 'دیکھی', 'نہیں', 'وجہ', 'ی', 'ہی', 'کہ', 'اگر', 'مووی', 'پسند', 'نہیں', 'آئے', 'تو', 'چھوڑ', 'دیتی', 'ہوں']"
مزید نمائش کے لیے کلک کریں,"['مزید', 'نمائش', 'کے', 'لیے', 'کلک', 'کریں']"
اگر آپ نے سپریشن دیکھی تو سٹونگ آف ثریا ضرور دیکھیں سچی کہانی ہے آخر ایسا ہے آپ نمیدہ نہ ہوئی تو پیسے واپس,"['اگر', 'آپ', 'نے', 'سپریشن', 'دیکھی', 'تو', 'سٹونگ', 'آف', 'ثریا', 'ضرور', 'دیکھیں', 'سچی', 'کہانی', 'ہے', 'آخر', 'ایسا', 'ہے', 'آپ', 'نمیدہ', 'نہ', 'ہوئی', 'تو', 'پی', 'سے', 'واپس']"
باقی اچھی چوائس ہے اور میں چاہوں گی یہاں پر سب لوگ اگزام ضرور دیکھیں تاکہ پتا چلے کہ کامن سینس از ناٹ کامن آؤٹ کلاس آئیڈیا ہم سب پر فٹ بیٹھتا ہے,"['باقی', 'اچھی', 'چوائس', 'ہے', 'اور', 'میں', 'چاہوں', 'گی', 'یہاں', 'پر', 'سب', 'لوگ', 'اگزام', 'ضرور', 'دیکھیں', 'تاکہ', 'پتا', 'چلے', 'کہ', 'کامن', 'سینس', 'از', 'نا', 'ٹ', 'کامن', 'آؤٹ', 'کلاس', 'آئیڈیا', 'ہم', 'سب', 'پر', 'فٹ', 'بیٹھتا', 'ہے']"
یہ مووی کس کس نے دیکھی ہے میں ریلیز ہوئی تھی,"['یہ', 'مووی', 'کس', 'کس', 'نے', 'دیکھی', 'ہے', 'میں', 'ریلیز', 'ہوئی', 'تھی']"
لوگ سینما جا کر فلم دیکھتے ہیں اور یہاں,"['لوگ', 'سینما', 'جا', 'کر', 'فلم', 'دیکھتے', 'ہیں', 'اور', 'یہاں']"
آٹھ دس دیکھی ہوئی ہیں ان میں سے,"['آٹھ', 'دس', 'دیکھی', 'ہوئی', 'ہیں', 'ان', 'میں', 'سے']"
میری واچ لسٹ تو بڑھتی ہی جا رہی آپ لوگوں کی پوسٹنگز سے,"['میری', 'واچ', 'لسٹ', 'تو', 'بڑھتی', 'ہی', 'جا', 'ر', 'ہی', 'آپ', 'لوگوں', 'کی', 'پوسٹنگز', 'سے']"
اچھی مووی تو یاد ضرور رہ جاتی ہے لگتا ہے کوئی اچھی مووی نہیں دیکھی تم نے اب تک جو یاد نہ رہی,"['اچھی', 'مووی', 'تو', 'یاد', 'ضرور', 'رہ', 'جاتی', 'ہے', 'لگتا', 'ہے', 'کوئی', 'اچھی', 'مووی', 'نہیں', 'دیکھی', 'تم', 'نے', 'اب', 'تک', 'جو', 'یاد', 'نہ', 'ر', 'ہی']"
میراثی ڈھونڈنے کا پروگرام\ یہ دیکھ لیں تفصیلات,"['میراثی', 'ڈھونڈ', 'نے', 'کا', 'پروگرام', 'یہ', 'دیکھ', 'لیں', 'تفصیلات']"
پہلے تو لفظ الگ لکھیں یا پھر انگلش میں بےایمانیاں نہ کریں,"['پہلے', 'تو', 'لفظ', 'الگ', 'لکھیں', 'یا', 'پھر', 'انگلش', 'میں', 'بے', 'ایمانیاں', 'نہ', 'کریں']"
یہ مووی کس کس نے دیکھی ہے میں ریلیز ہوئی تھی,"['یہ', 'مووی', 'کس', 'کس', 'نے', 'دیکھی', 'ہے', 'میں', 'ریلیز', 'ہوئی', 'تھی']"
ہم کیسے بھول سکتے ہیں میل گبسن کی ہدایتکاری کو اس کا میوزک راحت فتح علی خان نے دیا تھا,"['ہم', 'کی', 'سے', 'بھول', 'سکتے', 'ہیں', 'میل', 'گبسن', 'کی', 'ہدایتکاری', 'کو', 'اس', 'کا', 'میوزک', 'راحت', 'فتح', 'علی', 'خان', 'نے', 'دیا', 'تھا']"
عام طور پر لوگ سینما فلم دیکھنے ہی جاتے ہیں اگر آپ شروع میں لگنے والا قومی ترانہ سننے یا دیکھنے گئے تھے تو سلام ہے آپ کو,"['عام', 'طور', 'پر', 'لوگ', 'سینما', 'فلم', 'دیکھ', 'نے', 'ہی', 'جاتے', 'ہیں', 'اگر', 'آپ', 'شروع', 'میں', 'لگ', 'نے', 'والا', 'قومی', 'ترانہ', 'سن', 'نے', 'یا', 'دیکھ', 'نے', 'گئے', 'تھے', 'تو', 'سلام', 'ہے', 'آپ', 'کو']"
